
The time consumption is in ms 


index  	keygen   	Sign   	Verify   	encrypt   	decrypt
0	0.186152	 0.20404	 0.407843	0.394203 	 0.205346
1	0.196181	 0.208087	 0.408391	0.394047 	 0.205236
2	0.196333	 0.208854	 0.409309	0.394608 	 0.205463
3	0.196839	 0.208603	 0.408893	0.393599 	 0.205777
4	0.196531	 0.208522	 0.409498	0.394761 	 0.205988
5	0.196843	 0.209024	 0.410461	0.395425 	 0.206163
6	0.198169	 0.209397	 0.41034	0.395805 	 0.206497
7	0.196655	 0.20842	 0.410026	0.395341 	 0.205787
8	0.195927	 0.207033	 0.408787	0.394983 	 0.202933
9	0.194335	 0.205548	 0.407058	0.397663 	 0.206358
10	0.197659	 0.209427	 0.409699	0.403097 	 0.209958
11	0.197567	 0.211031	 0.413978	0.399861 	 0.207267
12	0.198526	 0.209895	 0.414423	0.399443 	 0.207591
13	0.198744	 0.210454	 0.413134	0.399451 	 0.208639
14	0.19918	 0.211046	 0.413933	0.40003 	 0.209327
15	0.201065	 0.212686	 0.435865	0.407391 	 0.209942
16	0.199583	 0.211527	 0.411831	0.399395 	 0.210008
17	0.199148	 0.210068	 0.420896	0.397155 	 0.205636
18	0.196672	 0.209843	 0.411792	0.396555 	 0.206635
19	0.197379	 0.209433	 0.41363	0.397134 	 0.206402
20	0.197614	 0.210064	 0.41073	0.396585 	 0.206747
21	0.196743	 0.210106	 0.411204	0.395405 	 0.205982
22	0.196797	 0.209846	 0.410909	0.39591 	 0.206392
23	0.196919	 0.209552	 0.409685	0.398672 	 0.208134
24	0.198332	 0.209664	 0.411372	0.397407 	 0.207526
25	0.196582	 0.210029	 0.412228	0.398835 	 0.208003
26	0.196956	 0.20919	 0.40918	0.397291 	 0.207318
27	0.196994	 0.210001	 0.411742	0.395955 	 0.206583
28	0.197159	 0.209706	 0.410794	0.396412 	 0.206956
29	0.197301	 0.209407	 0.41045	0.395933 	 0.206177
30	0.195963	 0.208863	 0.408807	0.395699 	 0.206125
31	0.196406	 0.209675	 0.410622	0.395281 	 0.206246
32	0.197259	 0.209269	 0.410747	0.395543 	 0.206489
33	0.197146	 0.2093	 0.410067	0.395357 	 0.206277
34	0.196328	 0.209055	 0.409017	0.394866 	 0.205915
35	0.196277	 0.20832	 0.408927	0.395415 	 0.205935
36	0.196116	 0.2092	 0.410243	0.394864 	 0.206233
37	0.1968	 0.208877	 0.41006	0.394584 	 0.20559
38	0.196614	 0.208691	 0.409773	0.394503 	 0.205393
39	0.196114	 0.208639	 0.41021	0.394687 	 0.2059
40	0.195326	 0.208651	 0.409694	0.394299 	 0.20568
41	0.19621	 0.208617	 0.409696	0.395385 	 0.205834
42	0.196753	 0.208413	 0.409271	0.394804 	 0.205276
43	0.195911	 0.208615	 0.408631	0.394536 	 0.205408
44	0.196194	 0.208225	 0.40827	0.394223 	 0.205457
45	0.195544	 0.208326	 0.408971	0.394086 	 0.205383
46	0.195458	 0.207987	 0.408644	0.393781 	 0.205761
47	0.196414	 0.208368	 0.408932	0.394892 	 0.205904
48	0.19671	 0.208653	 0.409681	0.394434 	 0.20591
49	0.195528	 0.208444	 0.409214	0.394469 	 0.205552
50	0.198504	 0.208391	 0.408736	0.393453 	 0.205796
51	0.195448	 0.208098	 0.40879	0.394604 	 0.205061
52	0.195713	 0.208515	 0.408403	0.393559 	 0.205809
53	0.197323	 0.209121	 0.408699	0.394498 	 0.205856
54	0.196165	 0.208497	 0.408583	0.395012 	 0.205675
55	0.196222	 0.208841	 0.408742	0.394091 	 0.205202
56	0.196194	 0.208545	 0.408285	0.393684 	 0.205298
57	0.195979	 0.207594	 0.408429	0.394469 	 0.205352
58	0.196506	 0.208133	 0.406838	0.392953 	 0.204974
59	0.195628	 0.208458	 0.408103	0.394795 	 0.205445
60	0.194981	 0.207451	 0.40807	0.393767 	 0.205087
61	0.195408	 0.208026	 0.407815	0.394 	 0.205441
